,,,,,close orice,gain and loss,Balance Before Variation,Margin call,Balance including,Balance after Withdrawals,1 = Marigin Call,1 = Incentive to Walk
,daily STD,,,,,,Margin and Withdrawals,, Any Variation Margin Due,Including Variation Margin Due,0 = No Margin Call,
initial Margin,2103.609783,6920.776715,6921,,,,,,,,,
maintenance Margin,1577.707337,5190.582536,5191,,,,,,,,157,
,,,,,,,,,,,,
,,,,,70.07,-1900,4841,2080,6921,6921,0,
,,,,,70.44,370,7291,0,7291,6921,0,
,,,,,69.81,-630,6291,0,6291,6291,0,
,,,,,69.58,-230,6061,0,6061,6061,0,
,,,,,69.15,-430,5631,0,5631,5631,1,
,,,,,68.41,-740,4891,2030,6921,6921,0,
,,,,,68.68,270,7191,0,7191,6921,0,
,,,,,69.41,730,7651,0,7651,6921,0,
,,,,,67.93,-1480,5441,0,5441,5441,0,
,,,,,68.32,390,5831,0,5831,5831,0,
,,,,,68.06,-260,5571,0,5571,5571,1,
,,,,,67.41,-650,4921,2000,6921,6921,0,
,,,,,67.57,160,7081,0,7081,6921,0,
,,,,,68.00,430,7351,0,7351,6921,0,
,,,,,68.31,310,7231,0,7231,6921,0,
,,,,,68.83,520,7441,0,7441,6921,0,
,,,,,68.15,-680,6241,0,6241,6241,0,
,,,,,68.37,220,6461,0,6461,6461,0,
,,,,,68.03,-340,6121,0,6121,6121,0,
,,,,,68.56,530,6651,0,6651,6651,0,
,,,,,69.31,750,7401,0,7401,6921,0,
,,,,,68.86,-450,6471,0,6471,6471,0,
,,,,,69.27,410,6881,0,6881,6881,0,
,,,,,69.73,460,7341,0,7341,6921,0,
,,,,,70.12,390,7311,0,7311,6921,0,
,,,,,70.83,710,7631,0,7631,6921,0,
,,,,,71.39,560,7481,0,7481,6921,0,
,,,,,70.59,-800,6121,0,6121,6121,0,
,,,,,70.51,-80,6041,0,6041,6041,0,
,,,,,70.91,400,6441,0,6441,6441,0,
,,,,,70.88,-30,6411,0,6411,6411,0,
,,,,,71.54,660,7071,0,7071,6921,0,
,,,,,72.30,760,7681,0,7681,6921,0,
,,,,,73.09,790,7711,0,7711,6921,0,
,,,,,73.90,810,7731,0,7731,6921,0,
,,,,,73.10,-800,6121,0,6121,6121,0,
,,,,,72.46,-640,5481,0,5481,5481,0,
,,,,,73.04,580,6061,0,6061,6061,0,
,,,,,72.46,-580,5481,0,5481,5481,1,
,,,,,71.89,-570,4911,2010,6921,6921,0,
,,,,,71.65,-240,6681,0,6681,6681,0,
,,,,,71.57,-80,6601,0,6601,6601,0,
,,,,,73.28,1710,8311,0,8311,6921,0,
,,,,,73.96,680,7601,0,7601,6921,0,
,,,,,72.81,-1150,5771,0,5771,5771,0,
,,,,,73.63,820,6591,0,6591,6591,0,
,,,,,74.46,830,7421,0,7421,6921,0,
,,,,,74.83,370,7291,0,7291,6921,0,
